district_num,sentiment,comment_count,year
1,0.08251567009379511,8,2018
2,0.3170454545454545,1,2018
3,0.12367784013337886,39,2018
4,0.09325929607267326,30,2018
5,0.12245637073251904,61,2018
6,0.06666666666666667,1,2018
7,0.07074196146165844,6,2018
8,0.09242491883116882,6,2018
9,0.1954705215419501,10,2018
10,0.1217127443263807,16,2018
11,0.14017030423280427,12,2018
12,0.12966329322613712,130,2018
13,0.15380012593104148,51,2018
14,0.1079429573659322,196,2018
15,-0.03988095238095239,5,2018
16,0.13949393478935074,36,2018
17,0.08714493419038874,22,2018
18,0.07721888741930558,325,2018
19,0.10407869429746101,549,2018
20,0.15003987483178863,39,2018
22,0.10193826902270953,69,2018
23,0.14980804159754127,63,2018
24,0.10100686563591277,49,2018
25,0.07945506394508497,50,2018
26,0.2966666666666667,1,2018
27,0.08126941916030263,307,2018
28,0.11691870076175491,37,2018
1,0.13225057207778954,23,2019
2,0.08507936507936509,3,2019
3,0.2054714365089913,36,2019
4,0.1869141239615509,77,2019
5,0.09385104640731737,165,2019
6,0.07652281746031747,3,2019
7,0.0686386714755544,12,2019
8,0.0921875,4,2019
9,0.12258944087130516,58,2019
10,0.12390533699006387,98,2019
11,0.11451626050302074,91,2019
12,0.10731981921836073,158,2019
13,0.07851652063392799,61,2019
14,0.10943938328010684,93,2019
15,0.12911055731565868,49,2019
16,0.12209457282441098,68,2019
17,0.12926299954796616,84,2019
18,0.11681461260677199,487,2019
19,0.13445757158830293,666,2019
20,0.09519485430914608,116,2019
21,0.02157407407407407,6,2019
22,0.10138943686102277,60,2019
23,0.06833800696362222,58,2019
24,0.07306275797153136,61,2019
25,0.0499948884755807,23,2019
26,0.04659618008130708,20,2019
27,0.09678239661380476,183,2019
28,0.17719498607817777,18,2019
1,0.13796118332436355,179,2020
2,0.1473574208489382,54,2020
3,0.13889187002912395,209,2020
4,0.12819507399254795,219,2020
5,0.1546835103644498,734,2020
6,0.18106368512977358,38,2020
7,0.15601006609446574,187,2020
8,0.0736390712442094,66,2020
9,0.13307806194145347,212,2020
10,0.13481045935794597,417,2020
11,0.13453388123011653,444,2020
12,0.11849961401100932,434,2020
13,0.14729446712561317,420,2020
14,0.13589841920336782,903,2020
15,0.13092455351215285,139,2020
16,0.10541260996913947,244,2020
17,0.0822608540928497,130,2020
18,0.13085099352704566,896,2020
19,0.12677548599492008,997,2020
20,0.13201977329918219,615,2020
21,0.05950818952247441,66,2020
22,0.10888782733058402,242,2020
23,0.1294197654795115,274,2020
24,0.11509065141184284,467,2020
25,0.09351696682675022,188,2020
26,0.15644008694810832,17,2020
27,0.11005485672764485,454,2020
28,0.11580945240087706,37,2020
1,0.09430673475265774,47,2021
2,0.06963977452321607,25,2021
3,0.13438526987915217,54,2021
4,0.0847189978619452,107,2021
5,0.139334321508748,136,2021
6,0.12166594516594516,5,2021
7,0.1703054789501624,52,2021
8,0.10361780923292781,11,2021
9,0.1562217280907498,23,2021
10,0.08297186204623298,44,2021
11,0.10520832704784772,38,2021
12,0.09495910478194936,67,2021
13,0.15624650061420822,47,2021
14,0.08853198879377609,48,2021
15,0.12303477727179025,14,2021
16,0.07201539201539202,15,2021
17,0.06276835818502485,9,2021
18,0.13152517697079916,114,2021
19,0.12464779699131828,115,2021
20,0.08221698556073556,40,2021
21,0.2868960609496324,9,2021
22,0.12733795771723758,43,2021
23,0.13454401458557294,55,2021
24,0.150795276152419,21,2021
25,0.0888604797979798,12,2021
26,-0.025054112554112558,1,2021
27,0.0841828878352688,45,2021
28,0.13311899441199967,11,2021
